T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
k-12,flikkflakk,draz,bapmoney,0,2,0
tenwa,gustavo,hara,spider,1,0,2
moosie,téabone,kriz,schlimmshady,1,0,2
momspaghetti,feradit,moe,g,0,-2,-2
k-12,flikkflakk,hara,spider,0,2,0
draz,bapmoney,kriz,schlimmshady,0,2,1
tenwa,gustavo,moe,g,0,-2,-2
moosie,téabone,momspaghetti,feradit,1,0,2
k-12,flikkflakk,kriz,schlimmshady,0,2,1
hara,spider,moe,g,0,-2,-2
draz,bapmoney,momspaghetti,feradit,0,2,0
tenwa,gustavo,moosie,téabone,0,2,0
salevits,mayhem,alexander,endofstory,0,2,0
fauster,aether,strawhatter,glaikit,0,-2,-2
johnkorv,schmep,waylide,gamba,0,2,0
taka,howie,arson (aka mc sweden),tengil,1,0,2
salevits,mayhem,strawhatter,glaikit,0,-2,-2
alexander,endofstory,waylide,gamba,1,0,2
fauster,aether,arson (aka mc sweden),tengil,0,2,0
johnkorv,schmep,taka,howie,0,2,0
salevits,mayhem,waylide,gamba,0,2,0
strawhatter,glaikit,arson (aka mc sweden),tengil,0,-2,-2
alexander,endofstory,taka,howie,1,1,2
fauster,aether,johnkorv,schmep,0,2,1
salevits,mayhem,arson (aka mc sweden),tengil,0,2,0
waylide,gamba,taka,howie,0,2,1
strawhatter,glaikit,johnkorv,schmep,0,-2,-2
alexander,endofstory,fauster,aether,1,0,2
salevits,mayhem,taka,howie,0,2,0
arson (aka mc sweden),tengil,johnkorv,schmep,1,0,2
waylide,gamba,fauster,aether,1,0,2
strawhatter,glaikit,alexander,endofstory,0,-2,-2
salevits,mayhem,johnkorv,schmep,0,2,0
taka,howie,fauster,aether,1,0,2
arson (aka mc sweden),tengil,alexander,endofstory,0,2,0
waylide,gamba,strawhatter,glaikit,0,-2,-2
salevits,mayhem,fauster,aether,1,0,2
johnkorv,schmep,alexander,endofstory,0,2,0
taka,howie,strawhatter,glaikit,0,-2,-2
arson (aka mc sweden),tengil,waylide,gamba,0,2,0
mikehaggarssbm,vilness,kone,bloodbowler,0,2,0
krisspear,endeby,diabound,tet,0,2,0
gale,nefe,guru,rävx,0,-2,-2
mistrrlove,king funk,kone,bloodbowler,0,2,1
mikehaggarssbm,vilness,guru,rävx,0,-2,-2
krisspear,endeby,gale,nefe,0,2,1
mistrrlove,king funk,diabound,tet,0,2,0
kone,bloodbowler,guru,rävx,0,-2,-2
