P1, P2, set winner
croatian sensation,pika power,0
jabber,galeforce,0
jppthegreat,plums,1
croatian sensation,jabber,0
poco,plums,0
jibca,croatian sensation,0
poco,jibca,0
tekno,poco,0
kezzup,mgf~,1
zman,failuyr,0
regnilla,mountain peakz,1
pyrose,salz,0
anti,mgf~,0
camel,zman,1
rango,mountain peakz,1
xane,pyrose,0
anti,zman,0
mountain peakz,xane,1
anti,xane,0
pyrose,kezzup,0
rango,failuyr,1
camel,regnilla,0
mgf~,salz,0
pyrose,failuyr,0
camel,mgf~,0
zman,pyrose,0
mountain peakz,camel,1
zman,camel,0
xane,zman,0
sharkkangaroo,toxic,1
kip!,faith,1
helm,bigmama,0
burgei,bungholio,1
komorikiri,toxic,0
consumed mexilag,faith,0
the great gonzales,helm,0
viev,bungholio,0
komorikiri,consumed mexilag,0
the great gonzales,viev,1
komorikiri,viev,0
bungholio,sharkkangaroo,0
helm,kip!,1
faith,bigmama,1
toxic,burgei,1
bungholio,kip!,0
bigmama,burgei,0
consumed mexilag,bungholio,0
the great gonzales,bigmama,0
consumed mexilag,the great gonzales,1
viev,the great gonzales,0
tubs,batman,0
chudat,tanwad,0
ethane,thepsychicgamer,0
dkdudeman,jon dog,0
8bitman,tubs,0
nateb64,chudat,1
braxton8,ethane,0
spankyj,dkdudeman,0
8bitman,chudat,0
braxton8,spankyj,0
8bitman,braxton8,0
dkdudeman,batman,0
ethane,tanwad,0
nateb64,thepsychicgamer,0
tubs,jon dog,1
dkdudeman,ethane,0
nateb64,jon dog,1
chudat,dkdudeman,1
spankyj,jon dog,0
dkdudeman,spankyj,1
braxton8,spankyj,0
finsfan,aladd04,1
cookietic,beast,0
banana fiend,singleblackmom,1
kommie,goat,1
paranoidzoid,dog+,1
6wx,aladd04,0
cookietic,singleblackmom,0
myran,goat,0
demi,dog+,1
6wx,cookietic,0
myran,dog+,0
6wx,myran,0
beast,banana fiend,0
demi,finsfan,1
goat,beast,1
singleblackmom,kommie,0
aladd04,paranoidzoid,1
finsfan,beast,1
singleblackmom,paranoidzoid,0
cookietic,beast,0
dog+,singleblackmom,0
cookietic,dog+,0
myran,cookietic,0
cheez dragon,mickalick,1
mikey p,ozone,1
grey,monkbard,0
ddip,joecool^,1
saj,mickalick,0
ace,ozone,0
demitus,grey,0
categhetti,joecool^,1
saj,ace,0
demitus,joecool^,0
saj,demitus,0
categhetti,cheez dragon,0
grey,mikey p,0
ozone,monkbard,0
mickalick,ddip,0
categhetti,grey,0
ozone,mickalick,1
ace,categhetti,1
joecool^,mickalick,0
categhetti,joecool^,1
demitus,joecool^,0
shucklin,mdragon,1
scrublord,thotalina,1
rog,red-white,0
cascade,pnut,1
hp,giggles,0
fatality,mdragon,0
thotalina,rog,1
crazycolorz5,pnut,0
dux,hp,0
fatality,rog,0
crazycolorz5,dux,0
fatality,crazycolorz5,0
scrublord,red-white,0
hp,shucklin,0
pnut,scrublord,0
thotalina,cascade,0
mdragon,giggles,0
hp,pnut,0
thotalina,mdragon,1
rog,hp,0
dux,mdragon,0
rog,dux,0
crazycolorz5,rog,0
r.a.g.e,hovrg,1
haven,chukles,1
blank,eon,0
chosen,grampa josh,1
tyroy,hovrg,1
clipboards,chukles,0
zex,blank,0
sai,grampa josh,0
hovrg,clipboards,1
zex,sai,0
clipboards,zex,1
grampa josh,r.a.g.e,0
blank,haven,0
chukles,eon,1
tyroy,chosen,1
grampa josh,blank,0
eon,chosen,0
hovrg,grampa josh,1
sai,eon,0
grampa josh,sai,1
clipboards,sai,0
fogel,fishguts,0
beegs,nach0mama,0
d-money,nicklecat,0
eleh,supra,0
output-null,yord,1
false,fogel,0
beegs,d-money,1
triple r,eleh,0
jack,yord,0
false,d-money,0
triple r,jack,0
false,triple r,0
nach0mama,nicklecat,0
yord,fishguts,0
eleh,nach0mama,0
beegs,supra,0
fogel,output-null,0
yord,eleh,1
beegs,fogel,0
d-money,eleh,0
jack,beegs,0
d-money,jack,1
triple r,jack,0
toad king,linkguy23,0
mag,glazo,0
shadowgib,hokage,1
troverian,sam,0
kamemushi,toad king,0
fthear,mag,1
chrim foish,hokage,0
chrome kingfisher,troverian,0
kamemushi,mag,0
chrim foish,chrome kingfisher,0
kamemushi,chrim foish,0
troverian,linkguy23,0
hokage,glazo,1
fthear,shadowgib,0
toad king,sam,0
troverian,glazo,0
fthear,toad king,1
mag,troverian,1
chrome kingfisher,toad king,1
troverian,toad king,1
chrim foish,toad king,0
sg | haystack,beardenstein,0
s,drum,0
seren,whit,1
unkn0wnkami,newo,1
ally,sg | haystack,0
fax,s,0
karinole,whit,0
zguh,newo,0
ally,fax,0
karinole,zguh,1
ally,zguh,0
newo,beardenstein,0
whit,drum,0
s,seren,1
sg | haystack,unkn0wnkami,0
newo,whit,1
seren,sg | haystack,1
fax,whit,1
karinole,sg | haystack,0
whit,karinole,1
zguh,karinole,0
jno,iceunleashed,1
bti,creation,1
zekeyblademaster,soronajo,1
babylon,wickkles_ddk_jbj_jbh,1
zinoto,iceunleashed,0
hilt,creation,1
brawlman1000,soronajo,0
3bxan,wickkles_ddk_jbj_jbh,0
zinoto,creation,0
brawlman1000,3bxan,1
zinoto,3bxan,0
wickkles_ddk_jbj_jbh,jno,0
soronajo,bti,0
hilt,zekeyblademaster,0
iceunleashed,babylon,0
wickkles_ddk_jbj_jbh,soronajo,1
hilt,iceunleashed,1
creation,soronajo,0
brawlman1000,iceunleashed,0
creation,brawlman1000,1
3bxan,brawlman1000,0
tengu,tokn,0
mello mind,johnnstr,1
xexzee,cob,0
watermelonfacts.org,devinchi,1
wadi,tengu,0
sooshi mang,johnnstr,1
