P1, P2, set winner
butt zone / fluid,enjoy / lilypad,0
djstank / cigs,peanut / yordy,0
heck / allyson wonderland,zero fox given / restez,1
hindawg / prz,mb-smash / 1der,0
butt zone / fluid,seeze / by15,1
djstank / cigs,action master / shabby,1
zero fox given / restez,therealthing / figment,1
goobershadow / wepeel,hindawg / prz,1
cobab / null,seeze / by15,1
char / sabelan,action master / shabby,1
datrooph / supermegawalrus,therealthing / figment,1
hindawg / prz,seeze / by15,0
action master / shabby,therealthing / figment,1
snowy / nerin,hindawg / prz,0
milo / kaptinkillem,therealthing / figment,1
snowy / nerin,therealthing / figment,1
jflex / zanguzen,therealthing / figment,0
xtrooper / paco,chelly / dankpank,0
4% / housewife,matsuka / tabasco,0
amne / portals,woofpack / spamgeorgio,0
biggpappa / hh toast,lastpo / sam,0
dj nintendo / the moon,xtrooper / paco,0
mentaculus / j,gnarly / aaronscaring,1
sauc3 / kason,4% / housewife,1
moonpuncher / moon over my-hammy,woogity wu / onion,1
nintendude / zhu,amne / portals,0
modus / ladies,brett3 / zent,0
amida / cob,biggpappa / hh toast,0
peegert / energeticly,kal-el / cake,1
dj nintendo / the moon,gnarly / aaronscaring,0
4% / housewife,woogity wu / onion,0
nintendude / zhu,modus / ladies,0
amida / cob,kal-el / cake,0
dj nintendo / the moon,4% / housewife,0
nintendude / zhu,amida / cob,0
dj nintendo / the moon,nintendude / zhu,0
dj nintendo / the moon,nintendude / zhu,0
peegert / energeticly,chelly / dankpank,1
brett3 / zent,matsuka / tabasco,1
moonpuncher / moon over my-hammy,woofpack / spamgeorgio,1
mentaculus / j,lastpo / sam,1
chelly / dankpank,biggpappa / hh toast,1
matsuka / tabasco,amne / portals,1
woofpack / spamgeorgio,sauc3 / kason,1
lastpo / sam,xtrooper / paco,1
woogity wu / onion,biggpappa / hh toast,0
gnarly / aaronscaring,amne / portals,1
kal-el / cake,sauc3 / kason,1
modus / ladies,xtrooper / paco,1
woogity wu / onion,amne / portals,0
sauc3 / kason,xtrooper / paco,0
amida / cob,woogity wu / onion,0
4% / housewife,sauc3 / kason,1
amida / cob,sauc3 / kason,0
nintendude / zhu,amida / cob,0
jofj / dan sam,blakesterr / iycewynd,0
ghost of harambe / crust,j-lar / yeerk,1
marionette / onehandbackhand,dingus / idcrisis,1
fadversity / vmachine,tsuinami / damian tyson,1
android / armada,jofj / dan sam,0
countedbeef122 / b4y6,deenuna / jams,1
bambi / zealous5000,j-lar / yeerk,0
cal / jerry,coysquash / agyle,0
drunksloth / pi,dingus / idcrisis,0
the rake / drfabs,.ðempt / snap,1
peanutphobia / emodinosaur,tsuinami / damian tyson,0
smirked / mellamo,tusk / milhous,0
android / armada,deenuna / jams,0
bambi / zealous5000,cal / jerry,1
drunksloth / pi,.ðempt / snap,0
peanutphobia / emodinosaur,smirked / mellamo,0
android / armada,cal / jerry,0
drunksloth / pi,peanutphobia / emodinosaur,0
android / armada,drunksloth / pi,0
android / armada,drunksloth / pi,0
tusk / milhous,blakesterr / iycewynd,0
the rake / drfabs,ghost of harambe / crust,1
coysquash / agyle,marionette / onehandbackhand,1
countedbeef122 / b4y6,fadversity / vmachine,1
tusk / milhous,tsuinami / damian tyson,1
ghost of harambe / crust,dingus / idcrisis,1
marionette / onehandbackhand,j-lar / yeerk,1
fadversity / vmachine,jofj / dan sam,1
bambi / zealous5000,tsuinami / damian tyson,1
deenuna / jams,dingus / idcrisis,1
smirked / mellamo,j-lar / yeerk,0
.ðempt / snap,jofj / dan sam,0
tsuinami / damian tyson,dingus / idcrisis,0
smirked / mellamo,.ðempt / snap,1
peanutphobia / emodinosaur,tsuinami / damian tyson,0
cal / jerry,.ðempt / snap,0
peanutphobia / emodinosaur,cal / jerry,1
drunksloth / pi,cal / jerry,0
mew2king / hungrybox,vanity angel / professor pro,0
reno / lucky,axe / taj,0
druggedfox / swedish delight,ice / macd,1
colbol / dizzkidboogie,sfat / pewpewu,1
mew2king / hungrybox,reno / lucky,0
ice / macd,sfat / pewpewu,1
mew2king / hungrybox,sfat / pewpewu,0
frootloop / darkatma,azzu / knubs.,0
nintendude / zhu,ryan ford / trulliam,1
drunksloth / pi,bladewise / silent wolf,1
rik / lanceinthepants,nightmare / n0ne,0
colbol / dizzkidboogie,frootloop / darkatma,0
druggedfox / swedish delight,ryan ford / trulliam,0
axe / taj,bladewise / silent wolf,0
vanity angel / professor pro,rik / lanceinthepants,0
colbol / dizzkidboogie,druggedfox / swedish delight,0
axe / taj,vanity angel / professor pro,1
reno / lucky,colbol / dizzkidboogie,1
ice / macd,vanity angel / professor pro,0
colbol / dizzkidboogie,ice / macd,0
drephen / kels,shroomed / alan,1
dj nintendo / the moon,plup / westballz,1
android / armada,duck / prince abu,0
chillindude / chudat,lovage805 / s2j,1
shroomed / alan,plup / westballz,1
android / armada,lovage805 / s2j,0
plup / westballz,android / armada,0
phish-it / emt_sol,tai / slox,1
ginger / beach,$mike / mafia,0
esam / kage,jflex / zanguzen,0
sago / scythe,fuzzyness / brtarolg,1
chillindude / chudat,tai / slox,0
duck / prince abu,ginger / beach,0
dj nintendo / the moon,esam / kage,0
drephen / kels,fuzzyness / brtarolg,0
chillindude / chudat,duck / prince abu,0
dj nintendo / the moon,drephen / kels,0
shroomed / alan,chillindude / chudat,1
lovage805 / s2j,dj nintendo / the moon,0
chillindude / chudat,lovage805 / s2j,0
mew2king / hungrybox,sfat / pewpewu,1
plup / westballz,android / armada,1
sfat / pewpewu,android / armada,0
sfat / pewpewu,android / armada,0
colbol / dizzkidboogie,ice / macd,1
chillindude / chudat,lovage805 / s2j,0
plup / westballz,ice / macd,1
mew2king / hungrybox,chillindude / chudat,1
ice / macd,chillindude / chudat,0
android / armada,ice / macd,0
